x,y,z,a,b,c,d,Is_Falling
4.451596995,10.05141941,8.836622728,0,0,1,0,0
4.3954428,10.05442089,8.578772666,0,1,0,0,0
4.395811795,10.04398904,8.601672659,1,0,0,0,0
4.446850482,10.08495556,8.429970907,0,0,1,0,0
4.388741596,10.09479929,8.161706618,0,1,0,0,0
4.468597554,9.983605727,8.1292393,1,0,0,0,0
4.422820811,9.988553218,8.560668642,0,0,0,1,0
4.429554379,9.991877185,8.569321529,0,0,1,0,0
4.405436289,9.986197837,8.474892267,0,1,0,0,0
4.404953722,9.987510067,8.474827263,1,0,0,0,0
4.453454546,10.03441017,8.30081278,0,0,1,0,0
4.389545191,10.04597403,8.017221887,0,1,0,0,0
4.438067107,10.03338681,7.9467897,1,0,0,0,0
4.419747266,10.15992215,8.487984861,0,0,0,1,0
4.421944472,10.17770536,8.486236646,0,0,1,0,0
4.457014037,10.059097,8.481343124,0,1,0,0,0
4.454135395,10.0961962,8.768465494,0,0,1,0,0
4.445959749,10.13227327,8.308423171,0,1,0,0,0
4.443370077,10.09859983,8.039596988,1,0,0,0,0
4.453547978,10.07572448,8.472020161,0,0,0,1,0
4.444407624,10.10251844,8.768203521,0,0,1,0,0
4.391334293,10.11739333,8.529576689,0,1,0,0,0
4.450626615,10.08547903,8.495666839,1,0,0,0,0
4.46294806,10.13588963,8.773897116,0,0,1,0,0
4.466721485,10.00935098,8.231901798,1,0,0,0,0
4.429750782,10.01541881,8.379418135,0,0,0,1,0
4.497844411,10.04287075,8.377464794,0,1,0,0,0
4.515618227,10.05928952,8.442632328,1,0,0,0,0
4.52768353,10.07792054,8.440161935,0,0,1,0,0
4.64720708,10.15309313,8.490559882,0,1,0,0,0
4.662567229,10.16711597,8.536361415,0,1,0,0,0
4.732800779,10.22788133,8.085460551,1,0,0,0,0
4.761044368,10.25139971,8.068745506,0,0,1,0,0
4.891820403,10.30892522,8.1715872,0,1,0,0,0
4.859136873,10.28354013,8.101374457,1,0,0,0,0
4.900410436,10.28855007,8.103848689,0,0,1,0,0
5.032867051,10.28651547,8.14455445,0,1,0,0,0
5.045099358,10.30207298,8.182235058,1,0,0,0,0
5.15016713,10.35793479,8.036552236,0,0,1,0,0
5.156011734,10.39118303,7.821854254,1,0,0,0,0
5.210164943,10.33975876,8.217595894,0,0,0,1,0
5.269338434,10.33561793,8.197660755,0,0,1,0,0
5.375205044,10.37197149,8.251179943,0,1,0,0,0
5.367694645,10.34307543,8.150459958,1,0,0,0,0
5.491892063,10.38081738,7.963973673,0,0,1,0,0
5.539934937,10.4454521,7.773216635,0,1,0,0,0
5.620190278,10.40857017,7.683154651,1,0,0,0,0
5.660863065,10.39891943,8.054634043,0,0,0,1,0
5.728629152,10.39641755,7.977133907,0,0,1,0,0
5.82822501,10.57871977,8.081482987,0,1,0,0,0
5.999311755,10.77247045,7.690239835,1,0,0,0,0
6.083383924,10.76897138,7.952201947,0,0,1,0,0
6.202194371,10.7811452,7.970860758,1,0,0,0,0
6.27113356,10.78077381,8.039265755,0,0,0,1,0
6.314861192,10.7252942,8.231034219,0,0,1,0,0
6.332568766,10.74805234,8.25157592,0,1,0,0,0
6.421791272,10.73000828,8.491114485,0,0,1,0,0
6.447987335,10.78353181,8.27835388,0,1,0,0,0
6.568323362,10.74567471,8.30170808,1,0,0,0,0
6.687481186,10.78133368,8.731883185,0,0,0,1,0
6.774050194,10.82599572,8.741926796,0,0,1,0,0
6.762651565,10.87612727,8.733072702,0,1,0,0,0
6.6355043,11.268233,9.253564583,1,0,0,0,0
6.704382104,11.28787427,9.239877286,0,0,1,0,0
6.755187242,11.28979698,9.200221042,0,1,0,0,0
6.636853092,11.74215105,9.341033559,1,0,0,0,0
6.683351551,11.72188537,9.518094826,0,0,0,1,0
6.793315932,11.77178102,9.826184657,0,0,1,0,0
7.013212001,11.87158281,10.11756265,0,1,0,0,0
7.108711662,11.78019918,9.862653911,1,0,0,0,0
7.230929381,11.80392969,10.13739509,0,0,1,0,0
7.308384506,11.78623954,10.2335746,0,1,0,0,0
7.151899123,12.2144451,10.41977178,1,0,0,0,0
7.221319513,12.22557126,10.69189396,0,0,0,1,0
7.339451696,12.29421652,11.00654622,0,0,1,0,0
7.412744457,12.14955659,11.01467157,1,0,0,0,0
7.507188686,12.2260683,11.01499237,0,0,1,0,0
7.549953501,12.27518913,11.01268112,0,1,0,0,0
7.683977222,12.30534964,10.74094978,1,0,0,0,0
7.753176932,12.34177524,10.94212653,0,0,0,1,0
7.890945471,12.39116869,11.16579939,0,0,1,0,0
8.006790223,12.47681271,11.06276487,0,1,0,0,0
8.131521664,12.39421375,11.07352603,1,0,0,0,0
8.157654927,12.47659731,11.33794404,0,0,1,0,0
8.282123529,12.55845602,11.09335367,0,1,0,0,0
8.067641611,12.92903933,11.3280534,1,0,0,0,0
8.225030085,12.9509951,11.72627321,0,0,0,1,0
8.554482711,12.6010547,11.50181142,0,0,1,0,0
8.64565981,12.62624329,11.29058569,0,1,0,0,0
8.806421375,12.64189768,11.31586969,1,0,0,0,0
9.154920133,12.28093631,11.10342851,0,0,1,0,0
9.268622793,12.37782113,10.74524497,0,1,0,0,0
9.291034221,12.46188523,10.57298727,1,0,0,0,0
9.323772329,12.51441192,10.78056088,0,0,0,1,0
9.410662024,12.71302792,11.15853212,0,0,1,0,0
9.48879734,12.77875779,10.85610027,0,1,0,0,0
9.596761699,12.84799694,10.94567285,1,0,0,0,0
9.948707644,12.58434146,10.50133215,0,1,0,0,0
10.03424308,12.6100187,10.13440884,1,0,0,0,0
10.11351607,12.5918555,10.20026857,0,0,0,1,0
10.18379454,12.64370292,10.40929832,0,0,1,0,0
10.25481797,12.68907652,10.18941659,0,1,0,0,0
10.37156796,12.80934253,10.22330069,1,0,0,0,0
10.43071667,12.87343444,10.43609243,0,0,1,0,0
10.50770008,12.95982929,10.0593688,0,1,0,0,0
10.6648783,13.00900458,9.844650424,1,0,0,0,0
10.71905904,13.01123656,10.11238657,0,0,0,1,0
10.83823841,13.13461022,10.34557744,0,0,1,0,0
10.8980946,13.19538042,10.09863775,0,1,0,0,0
10.93742504,13.19898896,10.03919431,1,0,0,0,0
11.31520779,12.92548085,9.789445922,0,0,1,0,0
11.35404821,12.99574444,9.462251898,0,1,0,0,0
11.46720556,13.04461963,9.186976981,1,0,0,0,0
11.54072836,13.09349034,9.516578053,0,0,0,1,0
11.6275403,13.19031656,9.743434949,0,0,1,0,0
11.74472018,13.29179242,9.434846057,1,0,0,0,0
11.84237619,13.36565533,9.656088247,0,0,1,0,0
11.96070692,13.30447648,9.533709689,0,1,0,0,0
12.06895173,13.34172372,9.117343847,1,0,0,0,0
12.12502644,13.35764739,9.169979022,0,0,0,1,0
12.19608608,13.34438302,9.381721958,0,0,1,0,0
12.35109841,13.52721605,9.46620383,0,1,0,0,0
12.44748699,13.47725086,9.359537803,1,0,0,0,0
12.57986075,13.53151594,9.5537745,0,0,1,0,0
12.69038194,13.68110349,9.20004265,0,1,0,0,0
12.78892207,13.75571943,8.964929444,1,0,0,0,0
12.87989708,13.774687,9.358028603,0,0,0,1,0
12.9211492,13.77832198,9.567364309,0,0,1,0,0
13.0413535,13.89374227,9.281243849,0,1,0,0,0
13.17841738,13.93017705,9.244642854,1,0,0,0,0
13.21427228,13.98123746,9.505021291,0,0,1,0,0
13.33353579,14.12400093,9.06321397,0,1,0,0,0
13.39964382,14.18688589,8.734855978,1,0,0,0,0
13.51737451,14.19049214,9.10556926,0,0,0,1,0
13.59275088,14.31412945,9.347793668,0,0,1,0,0
13.69924607,14.37144021,9.076112787,0,1,0,0,0
13.76911875,14.46683144,9.007161818,1,0,0,0,0
13.79836253,14.55475771,9.279877184,0,0,1,0,0
13.91408986,14.65919386,8.918066806,0,1,0,0,0
13.95643261,14.54653577,8.574178694,1,0,0,0,0
13.99551336,14.55916503,8.990389889,0,0,0,1,0
14.06851103,14.61478043,8.992409722,0,0,1,0,0
14.17868796,14.63535122,8.973027321,0,1,0,0,0
14.19909944,14.69138161,9.07570521,1,0,0,0,0
14.27036066,14.72838376,8.961160023,0,0,1,0,0
14.34431892,14.74910372,8.669284191,0,1,0,0,0
14.37520923,14.72076827,8.583319001,1,0,0,0,0
14.45909912,14.79940555,9.060412652,0,0,0,1,0
14.49225306,14.88391974,9.05084752,0,0,1,0,0
14.52301806,14.86623076,9.013352408,0,1,0,0,0
14.54248314,14.85967564,9.130138232,1,0,0,0,0
