iter	Logloss
0	0.6536288407
1	0.6207672608
2	0.5950571713
3	0.573982548
4	0.5573725474
5	0.5443574609
6	0.533654918
7	0.5247563082
8	0.5176870888
9	0.511431264
10	0.5056141738
11	0.5013993754
12	0.4972358876
13	0.4939342883
14	0.4907662018
15	0.4883244554
16	0.4861175143
17	0.4840272846
18	0.482001852
19	0.4801419999
20	0.4785097993
21	0.4769871198
22	0.475690311
23	0.4746493282
24	0.4735721148
25	0.4726152362
26	0.471717666
27	0.4708941022
28	0.4699797907
29	0.46923431
30	0.4685952019
31	0.467541678
32	0.4669979401
33	0.4665158304
34	0.4660314347
35	0.4653340858
36	0.4647050156
37	0.464123269
38	0.4635998261
39	0.4629231791
40	0.4624253088
41	0.4619641038
42	0.4616403631
43	0.4612357699
44	0.4607880854
45	0.4602826741
46	0.4598578463
47	0.4595461532
48	0.4591011516
49	0.4586532401
50	0.4584115304
51	0.4580382246
52	0.457646098
53	0.4573524461
54	0.4569317506
55	0.4567195044
56	0.4564575281
57	0.4562218212
58	0.4559624973
59	0.4557278296
60	0.4554745012
61	0.4552768092
62	0.4549433975
63	0.4547676077
64	0.4545188656
65	0.454297642
66	0.4540982731
67	0.4539142577
68	0.4537806177
69	0.4535823826
70	0.453389308
71	0.4531316897
72	0.4529566835
73	0.4526607793
74	0.4524946243
75	0.4523380317
76	0.4521326851
77	0.4520072027
78	0.4517395591
79	0.4515139315
80	0.4513591252
81	0.4512223389
82	0.4510634769
83	0.4509292765
84	0.4508078276
85	0.4506430302
86	0.4505112658
87	0.4503505597
88	0.4501805276
89	0.4500423427
90	0.4499176029
91	0.4497618549
92	0.4496665705
93	0.4495149021
94	0.4494013879
95	0.4493088091
96	0.4491824011
97	0.4490839992
98	0.4489524195
99	0.4488255061
100	0.4486950628
101	0.4485880872
102	0.448506035
103	0.4484051857
104	0.4482366593
105	0.4481338784
106	0.4480096901
107	0.4479418202
108	0.4478023954
109	0.4477021966
110	0.4476229185
111	0.4475334093
112	0.4474090931
113	0.4473199126
114	0.4471727387
115	0.4470657866
116	0.446987828
117	0.4469070352
118	0.446829641
119	0.4466896176
120	0.4465821209
121	0.4464633484
122	0.4463493377
123	0.4462558422
124	0.4460988528
125	0.4459812128
126	0.4458443674
127	0.445807204
128	0.4457358293
129	0.4456322451
130	0.4455275909
131	0.4453846744
132	0.4452766996
133	0.4451884855
134	0.44509633
135	0.4449596351
136	0.4448703949
137	0.444778715
138	0.4446927189
139	0.4446046828
140	0.4444940036
141	0.4444168282
142	0.4443108906
143	0.4442395193
144	0.4441386184
145	0.4440623683
146	0.4439611357
147	0.4438532287
148	0.4437191747
149	0.4436156794
150	0.4435435267
151	0.4434697074
152	0.4433729419
153	0.4432587879
154	0.4431398966
155	0.4430355835
156	0.4429487468
157	0.4428452727
158	0.4427235713
159	0.4426350236
160	0.4425255958
161	0.4424394575
162	0.4423490946
163	0.4422439065
164	0.4421015195
165	0.4420070316
166	0.4418472922
167	0.4417736158
