iter	Passed	Remaining
0	11	11559
1	22	11408
2	34	11627
3	46	11628
4	58	11593
5	68	11398
6	79	11302
7	90	11179
8	100	11088
9	111	11008
10	120	10841
11	130	10725
12	140	10670
13	151	10657
14	161	10613
15	171	10561
16	182	10542
17	192	10501
18	202	10465
19	213	10454
20	223	10432
21	234	10432
22	244	10384
23	254	10345
24	265	10339
25	275	10338
26	286	10322
27	296	10300
28	307	10289
29	318	10282
30	328	10278
31	338	10235
32	348	10204
33	360	10230
34	371	10244
35	382	10232
36	392	10210
37	403	10208
38	414	10206
39	424	10197
40	434	10173
41	445	10164
42	456	10156
43	467	10151
44	477	10143
45	488	10125
46	499	10119
47	509	10099
48	519	10082
49	530	10073
50	540	10057
51	551	10046
52	561	10041
53	572	10023
54	582	10010
55	593	9997
56	603	9984
57	614	9974
58	624	9960
59	634	9946
60	645	9929
61	655	9912
62	665	9891
63	674	9868
64	684	9852
65	694	9832
66	705	9821
67	715	9806
68	725	9789
69	735	9778
70	746	9767
71	756	9751
72	766	9737
73	777	9730
74	788	9721
75	798	9704
76	808	9696
77	819	9685
78	829	9675
79	841	9675
80	852	9668
81	863	9661
82	874	9656
83	884	9641
84	893	9622
85	904	9608
86	913	9588
87	924	9577
88	934	9564
89	944	9548
90	954	9538
91	966	9536
92	976	9522
93	986	9509
94	996	9494
95	1006	9480
96	1016	9464
97	1027	9460
98	1038	9455
99	1050	9450
100	1060	9441
101	1071	9429
102	1081	9420
103	1092	9415
104	1104	9416
105	1115	9407
106	1126	9400
107	1137	9391
108	1148	9389
109	1160	9386
110	1170	9378
111	1181	9371
112	1193	9370
113	1204	9364
114	1216	9358
115	1226	9350
116	1236	9331
117	1246	9320
118	1258	9317
119	1268	9300
120	1279	9292
121	1289	9279
122	1299	9264
123	1310	9257
124	1320	9246
125	1331	9233
126	1344	9242
127	1359	9259
128	1369	9244
129	1380	9235
130	1390	9221
131	1401	9216
132	1412	9204
133	1422	9192
134	1433	9181
135	1444	9175
136	1454	9162
137	1465	9151
138	1475	9136
139	1485	9127
140	1496	9115
141	1506	9104
142	1518	9098
143	1528	9084
144	1540	9084
145	1551	9077
146	1563	9070
147	1574	9062
148	1585	9056
149	1596	9048
150	1607	9038
151	1618	9032
152	1630	9026
153	1640	9014
154	1652	9008
155	1663	9002
156	1675	8995
157	1685	8982
158	1696	8973
159	1706	8960
160	1717	8949
161	1726	8931
162	1736	8916
163	1746	8902
164	1757	8891
165	1766	8872
166	1776	8862
167	1786	8847
168	1795	8831
169	1806	8817
170	1815	8799
171	1824	8782
172	1834	8770
173	1846	8764
174	1856	8752
175	1866	8736
176	1875	8721
177	1886	8710
178	1896	8699
179	1906	8685
180	1916	8670
181	1926	8658
182	1936	8645
183	1945	8629
184	1957	8621
185	1967	8608
186	1977	8597
187	1987	8585
188	1998	8573
189	2007	8559
190	2017	8546
191	2028	8535
192	2038	8524
193	2049	8513
194	2059	8500
195	2068	8486
196	2079	8474
197	2089	8463
198	2099	8451
199	2110	8440
200	2120	8427
201	2131	8418
202	2141	8407
203	2151	8395
204	2162	8384
205	2172	8372
206	2182	8360
207	2193	8350
208	2203	8340
209	2214	8329
210	2230	8342
211	2243	8338
212	2254	8330
213	2264	8318
214	2274	8306
215	2285	8295
216	2296	8286
217	2306	8273
218	2316	8261
219	2326	8249
220	2337	8240
221	2348	8231
222	2358	8219
223	2369	8207
224	2379	8196
225	2389	8184
226	2400	8172
227	2410	8161
228	2421	8151
